Companies,URL,Description,Industry,Sub-Industry,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Company Status,Founded Year,City,State,Latest Valuation (M),Date of Exit,Latest Exit Round,Latest Full Year Revenue Min (M),Latest Full Year Revenue Max (M),Revenue Time Period
Navi,flynavi.com,"Navi specializes in aviation training support within the aviation industry. The company provides an Aviation AI that assists flight students by giving feedback, capturing flight data, and integrating study materials for the learning process. Its technology is intended to complement flight instructors by offering ground training and being available for questions and support. It was founded in 2024 and is based in San Francisco, California.",Mobile Software & Services,Education & Training,United States,2.35,"K5 Global Technology, Pre-Seed To Succeed, New Vista Capital, I2BF Global Ventures",2.35,Seed VC,2025-09-30,Alive / Active,2024,San Francisco,California,,,,,,
EasyMate,easymate.ai,"EasyMate provides AI software and chatbots for small and medium-sized businesses (SMBs) across various sectors. The company offers solutions that automate tasks, engage customers through chatbots, and create client portals, without requiring coding skills. EasyMate's technology learns from a business's data and aims to improve operations. It was founded in 2024 and is based in San Mateo, California.",Internet Software & Services,Science & Engineering,United States,1.00,"Converge, 500 Global, Hustle Fund",1.00,Pre-Seed,2024-05-31,Alive / Active,2024,San Mateo,California,,,,,,
Emblematic,emblematic.ai,"Emblematic provides AI-based automation to enhance financial operations within the finance sector. It offers automation for tasks such as invoice processing, transaction categorization, and compliance with accounting standards, while ensuring data privacy and security. The company's solutions aim to improve financial workflows and accuracy through a human-in-the-loop model. It was founded in 2025 and is based in Berlin, Germany.",Internet Software & Services,Accounting & Finance,Germany,2.00,"Big Sur Ventures, Caesar Ventures, Chris Adelsbach, Enzo Ventures, Kanoar Ventures, Passion Capital, Plug and Play, Ventures Together",2.00,Pre-Seed,2025-08-12,Alive / Active,2025,Berlin,,,,,,,
MiChamba,michamba.ai,"MiChamba provides AI-based task management solutions for small and medium-sized enterprises across various sectors. The company has a platform that automates task creation, assignment, and workflow management, integrating to facilitate internal communication and productivity. It serves industries including hospitality, logistics, oil & gas, and construction. It was founded in 2025 and is based in El Paso, Texas.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,2.25,"Audaz Capital, Wollef",2.25,Pre-Seed,2025-08-18,Alive / Active,2025,El Paso,Texas,,,,,,
Flamingo,flamingo.run,"Flamingo provides AI-driven open-source operating systems for managed service providers (MSPs) within the technology sector. The company offers platforms that serve as open-source alternatives to vendor tools, focusing on automating workflows and reducing costs for MSPs. Flamingo's solutions assist MSPs in managing their operations more effectively. It was founded in 2025 and is based in Miami, Florida.",Internet Software & Services,Application & Data Integration,United States,2.20,"Array Ventures, Focal, Nico Berardi",2.20,Pre-Seed,2025-10-28,Alive / Active,2025,Miami,Florida,,,,,,
Quill,quill.com.br,"Quill focuses on digital integration for real estate transactions within the real estate industry. The company provides a solution that combines the steps of real estate closing processes into a digital platform. Quill serves the real estate sector, offering tools for document automation, AI-assisted analysis, and streamlined legal processes. It was founded in 2024 and is based in Sao Paulo, Brazil.",Real Estate,Commercial Real Estate Investment,Brazil,0.43,"Bossa Invest, Sororitê Ventures",0.43,Pre-Seed - II,2025-03-07,Alive / Active,2024,Sao Paulo,,,,,,,
Nyayanidhi,nyayanidhi.com,"Nyayanidhi provides legal solutions within the legal technology sector. It offers a digital litigation infrastructure designed for enterprises, which includes legal process management and engagement with specialist advocates. Its services are aimed at supporting general counsels with litigation-centric AI agents and addressing the transition from traditional billable hours to fixed-rate billing. It was founded in 2024 and is based in Bengaluru, India.",Internet Software & Services,Legal,India,2.00,"3one4 Capital Partners, DeVC, Force Ventures, Nishchay Ag, PeerCheque",2.00,Seed VC,2025-11-12,Alive / Active,2024,Bengaluru,,,,,,,
IntuigenceAI,intuigence.ai,"IntuigenceAI focuses on synthetic AI engineers that automate industrial workflows in the engineering sector. Its offerings include automation of routine tasks, data analysis, content generation, and orchestration of industrial processes. IntuigenceAI's synthetic engineers are designed to learn and adapt to organizational workflows, providing support and integration with existing systems. It was founded in 2024 and is based in Palos Verdes Peninsula, California.",Internet Software & Services,Science & Engineering,United States,10.00,"Innovation Endeavors, Recursive Ventures, Think + Ventures",10.00,Seed VC,2025-07-15,Alive / Active,2024,Palos Verdes Peninsula,California,,,,,,
ScienceMachine,sciencemachine.ai,"ScienceMachine focuses on biomedical discovery through AI-powered data analysis in the life sciences sector. The company's main offering, Sam, automates the structuring, analyzing, and visualizing of research data. ScienceMachine serves the life sciences industry and provides tools that work with existing databases and workflows to support scientific research. It was founded in 2024 and is based in London, United Kingdom.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United Kingdom,3.50,"Nucleus Capital, Revent Ventures",3.50,Pre-Seed,2025-07-09,Alive / Active,2024,London,England,,,,,,
Elyndra,elyndra.co.uk,"Elyndra uses voice and text observations to create structured documentation, aiming to reduce administrative tasks for care staff and improve the quality of care. The platform allows care professionals to document their observations in real-time, with AI support for organizing information and identifying patterns, while ensuring data security and compliance with regulatory standards. It was founded in 2024 and is based in London, United Kingdom.",Internet Software & Services,Health & Wellness,United Kingdom,1.51,Outward VC,1.51,Seed VC,2025-06-26,Alive / Active,2024,London,England,,,,,,
Autograph,autograph-ai.com,"Autograph focuses on legacy preservation through personal storytelling and digital remembrance. The company provides a service where an AI historian named Walter conducts weekly phone calls to record life stories, which are stored and organized for future sharing. Autograph caters to individuals who want to create a digital representation of their life experiences. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Information Providers & Portals,United States,2.60,"Cibersons, Embedding VC, Long Journey Ventures, NFX",2.60,Pre-Seed,2025-04-01,Alive / Active,2024,San Francisco,California,,,,,,
Maxima,maxima.ai,"Maxima provides AI-driven accounting automation solutions within the financial technology sector. It offers a platform that automates accounting processes such as journal entries, reconciliations, and flux analysis, and ensures compliance with SOX requirements for enterprise finance teams. The company serves sectors that require financial management and compliance solutions. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Accounting & Finance,United States,41.00,"Audacious Ventures, Joe Montana, Kleiner Perkins, Redpoint Ventures",41.00,Series A,2025-11-18,Alive / Active,2024,San Francisco,California,143.00,,,,,
Alphaguard,alphaguard.ai,"Alphaguard provides AI-driven solutions for the prevention, detection, and investigation of fraud within government and public sector domains. The company focuses on third-party monitoring and comprehensive risk assessments. Alphaguard serves government agencies and public organizations and offers tools related to the tendering process and the protection of public funds. It was founded in 2024 and is based in Roissy-en-Brie, France.",Internet Software & Services,Monitoring & Security,France,0.40,"Antler Nigeria, Antler",0.30,Angel,2025-07-01,Alive / Active,2024,Roissy-en-Brie,,,,,,,
Magne,magne.ai,"Magne focuses on privacy and security in the smartphone industry, with a particular emphasis on Web3 technology. The company offers smartphones equipped with hardware security for crypto interactions, built-in Web3 wallets, and on-device AI for user privacy and experience. Magne also develops high-performance blockchain solutions to support seamless Web3 applications. It was founded in 2024 and is based in Tortola, Virgin Islands (British).",Internet Software & Services,Monitoring & Security,Virgin Islands (British),10.00,"Becker Ventures, Castrum Capital, Duck DAO, TB Ventures",10.00,Series A,2025-08-25,Alive / Active,2024,Tortola,,,,,,,
Dawnguard,dawnguard.ai,"Dawnguard focuses on cybersecurity within the cloud computing domain, emphasizing design-phase security integration. The company offers a platform that utilizes AI to validate cloud architecture, detect risks, and generate Infrastructure as Code (IaC) for secure cloud deployments. Dawnguard's solutions cater to sectors that require cybersecurity measures integrated into their cloud architecture. It was founded in 2025 and is based in South Holland, Netherlands.",Internet Software & Services,Monitoring & Security,Netherlands,3.00,"BNVT Capital, 9900 Capital",3.00,Pre-Seed,2025-07-31,Alive / Active,2025,South Holland,,,,,,,
Cutback,cutback.video,"Cutback offers an editing tool within the technology sector. It provides an AI assistant that automates tasks such as rough cuts, multi-cam editing, transcription, translation, and adding animated captions, helping video editors improve their workflow. Its tools aim to simplify the editing process, enabling creators to concentrate on the creative parts of video production. It was founded in 2024 and is based in Seoul, South Korea.",Internet Software & Services,Video,South Korea,2.52,"Orange Planet Startup Foundation, Base Ventures, Kakao Ventures, Smilegate Investment",2.52,Seed VC,2025-07-29,Alive / Active,2024,Seoul,,,,,0.74,0.74,FY 2025
TheNextLevel,thenextlevel.app,"TheNextLevel specializes in transforming Shopify stores into mobile applications within the ecommerce industry. The company offers a drag-and-drop app studio for app customization, AI-powered push messaging for customer engagement, and integration with Shopify for product and collection management. The platform is designed for mobile shopping experiences and increase conversion rates for ecommerce businesses. It was founded in 2024 and is based in Manchester, United Kingdom.",Mobile Software & Services,Application Development,United Kingdom,0.65,"DSW Ventures, Elizabeth Gooch MBE, GC Angels, Richard Hong",0.65,Pre-Seed,2024-10-03,Alive / Active,2024,Manchester,England,,,,,,
Conduct AI,conduct-ai.com,"Conduct AI specializes in providing transparency solutions for SAP custom code within the software industry. The company offers services related to custom code configuration, management of BAPIs and IDOCs, tracking enhancements and customizations, as well as analyzing dependencies. Its services cater to organizations that utilize SAP systems and require clarity and oversight of their custom code implementations. It was founded in 2024 and is based in London, United Kingdom.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United Kingdom,12.00,"BOOOM, Creandum, Lucid Capital",12.00,Seed VC,2025-09-18,Alive / Active,2024,London,England,,,,,,
Northsea,northsea.co,"Northsea is an AI platform focused on quantitative research within the consulting, investment, and corporate sectors. The company offers services that automate survey design, sourcing, and analysis to provide customer insights. Northsea serves consulting firms, investment teams, and corporate strategy departments seeking to validate market trends and conduct commercial due diligence. It was founded in 2025 and is based in Amsterdam, Netherlands.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",Netherlands,0.77,CapitalT,0.77,Pre-Seed,2025-10-16,Alive / Active,2025,Amsterdam,,,,,,,
Ara Research,ara-research.ai,"Ara Research specializes in AI-driven debt recovery solutions within the financial technology sector. It offers a platform that automates communications, negotiations, and payments to streamline the debt recovery process. Its software provides secure, flexible payment options and real-time reconciliation, enhancing customer support and maximizing revenue recovery for clients. It was founded in 2024 and is based in Kuala Lumpur, Malaysia.",Internet Software & Services,Accounting & Finance,Malaysia,0.40,"Hustle Fund, Iterative",0.40,Pre-Seed,2024-07-18,Alive / Active,2024,Kuala Lumpur,,,,,,,
Taxflow,jointaxflow.ai,"Taxflow provides AI solutions for tax preparation within the accounting industry. The company offers tools that assist with data collection, client communications, transaction categorization, and the process of tax preparation, which may help reduce manual labor and errors for accounting firms. Taxflow serves startups and accounting firms during tax season. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Accounting & Finance,United States,0.75,"Platanus, BFF, Brian Requarth, Brian York, Platanus Ventures",0.75,Pre-Seed,2025-01-29,Alive / Active,2024,San Francisco,California,,,,,,
Blue Longevity Clinic,bluelongevity.online,"Blue Longevity Clinic provides health diagnostics and therapy services within the healthcare industry. The clinic offers testing for metabolic, brain, gut, genetic, and biomarker health, along with treatments such as hyperbaric oxygen therapy, cryotherapy, and red light therapy. It also offers AI-assisted analysis for health systems based on longevity reports. It was founded in 2024 and is based in Athens, Greece.",Medical Facilities & Services,Specialized Healthcare Services,Greece,2.33,"Eleven Ventures, Sofia Angel Ventures",2.33,Pre-Seed,2025-07-22,Alive / Active,2024,Athens,,,,,,,
MailMoo,mailmoo.io,"MailMoo focuses on providing AI-based video solutions for cold outreach and e-commerce sectors. The company offers a platform allowing users to create and customize videos, utilizes features such as voice cloning, audio variables supporting multiple languages, and adds custom landing pages. It serves businesses to improve their sales and marketing through video content. It was founded in 2024 and is based in Helsinki, Finland.",Internet Software & Services,Video,Finland,,"Innovestor, Monttu Ventures",0.31,Pre-Seed,2025-01-17,Alive / Active,2024,Helsinki,,,,,,,
W3.io,w3.io,"W3.io is a company focused on blockchain technology within the Web3 ecosystem by introducing programmable intelligence. Its offerings include enabling smart contracts to operate autonomously through AI-driven automation and decision-making across decentralized applications. W3.io serves the blockchain and cryptocurrency sectors, aiming to facilitate the adoption of Web3 technologies. It was founded in 2024 and is based in Denver, Colorado.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,7.00,"Arrington Capital, Blockchange Ventures, Framework Ventures",7.00,Seed VC,2025-07-15,Alive / Active,2024,Denver,Colorado,,,,,,
Larridin,larridin.com,"Larridin operates within the business technology sector, providing services that enhance organizational productivity. The company's services include insights into workforce optimization, employee engagement, and resource allocation efficiency, as well as analyzing the productivity of AI agents. Larridin serves sectors that require productivity and performance analytics, such as finance, human resources, technology, and sales. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,HR & Workforce Management,United States,17.00,"Andreessen Horowitz, Bloomberg, Gradient Ventures, Haystack, Homebrew",17.00,Seed VC,2025-04-02,Alive / Active,2024,San Francisco,California,,,,,,
Legal Agent,legalagent.co.jp,"Legal Agent offers tech solutions and staffing services within the legal industry. It provides AI-based support to address staffing shortages in legal departments, including pitch deck preparation, M&A due diligence, case creation, and writing services, all supported by fixed capital. It serves sectors such as startups and corporate departments. It was founded in 2024 and is based in Tokyo, Japan.",Internet Software & Services,HR & Workforce Management,Japan,0.32,"ANRI, ANRI VORTEX, Anri Machinery, Boost Capital",0.32,Convertible Note,2025-01-09,Alive / Active,2024,Tokyo,,,,,,,
Argu AI,argu.ai,"Argu AI specializes in advanced security and water quality monitoring systems within the technology sector. The company offers a smart algorithm-based system that integrates with existing camera systems to detect and report anomalies in real-time. Argu AI's solutions are primarily utilized by critical infrastructure companies for monitoring security, water quality, and production processes. It was founded in 2024 and is based in Pardes Hanna-Karkur, Israel.","Electronic Test, Measurement & Monitoring",,Israel,2.10,"Mekorot, MDIA Public Innovation Challenge, A16z Speedrun, Andreessen Horowitz, Port of Miami",2.00,Pre-Seed,2025-10-16,Alive / Active,2024,Pardes Hanna-Karkur,,,,,,,
LuminX,luminxai.com,"LuminX provides AI-powered inventory visibility solutions within the technology and warehousing sectors. The company offers computer vision technology that automates dock verification and inventory tracking, aiming to improve accuracy and efficiency in warehouse operations. LuminX's systems integrate with existing Warehouse Management Systems, offering insights and addressing operational inefficiencies. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Supply Chain & Logistics,United States,5.50,"1Sharpe Capital, 9Yards Capital, Chingona Ventures, GTMFund, The Bond Fund",5.50,Seed VC,2025-06-02,Alive / Active,2024,San Francisco,California,,,,,,
Koah,koahlabs.com,"Koah focuses on AI-native monetization methods in the digital advertising sector. The company provides solutions that allow for the capture of value from free users by running ads and displaying commercial links at moments of high purchase intent. These services integrate into digital platforms while addressing revenue streams and user satisfaction. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Advertising Network or Exchange,United States,5.00,"Andrew Karam, Forerunner Ventures, South Park Commons",5.00,Seed VC,2025-09-08,Alive / Active,2024,San Francisco,California,,,,,,
Code Four,codefour.us,"Code Four specializes in AI-powered video analysis and report generation for the law enforcement sector. Its main offerings include transforming audio and video data from body-worn cameras into comprehensive narratives and automated incident reports. Code Four's solutions are tailored for municipal, county, state, and federal police departments. It was founded in 2025 and is based in Cary, North Carolina.",Internet Software & Services,Monitoring & Security,United States,0.50,"Nivesha Ventures, Y Combinator",0.50,Convertible Note,2025-04-01,Alive / Active,2025,Cary,North Carolina,,,,,,
Songscription,songscription.ai,"Songscription is a company that specializes in music transcription using AI technology. It provides services to convert audio files into sheet music, MIDI files, and guitar tabs, serving learners, composers, teachers, and producers. Its platform supports transcription for various instruments and offers different formats for exported music, including PDF, MusicXML, and GuitarPro. It was founded in 2024 and is based in Oceanside, New York.",Internet Software & Services,Music,United States,5.00,"StartX, Reach Capital, 10x Founders, Dent Capital, Emerge Capital, Ron Thal",5.00,Seed VC,2025-11-13,Alive / Active,2024,Oceanside,New York,,,,,,
Inventex,inventex.ai,"Inventex specializes in intellectual property management within the legal tech sector, focusing on automating the patent application process. The company offers services that include tracking of patentable inventions, drafting patent applications with AI assistance, and providing legal oversight from licensed patent professionals. Inventex serves technology businesses looking to protect their innovations. It was founded in 2024 and is based in Salt Lake City, Utah.",Internet Software & Services,Compliance,United States,2.40,"Boost VC, Cambrian Ventures, Conviction Capital, Fred Ehrsam",2.40,Convertible Note,2025-04-10,Alive / Active,2024,Salt Lake City,Utah,,,,,,
Big Audience Machine,bigaudiencemachine.com,"Big Audience Machine provides AI-driven content marketing solutions across various business sectors. The company has a platform that allows users to create, plan, and publish content for their business needs without external prompting, based on an understanding of the user's business. Its services are intended for professionals looking to improve their online presence through content distribution. It was founded in 2024 and is based in Stockholm, Sweden.",Internet Software & Services,Content Management,Sweden,0.37,"Antler, Co-Made, Dagg AI",0.37,Seed VC,2024-12-04,Alive / Active,2024,Stockholm,,,,,,,
Huckleberry,gethuckleberry.com,"Huckleberry is a company that provides 360 feedback software within the human resources technology sector. The company has a platform that allows teammates to provide feedback, using AI to analyze and summarize the feedback. Huckleberry serves individuals looking to build professional reputation, managers aiming to streamline feedback processes, and HR leaders interested in implementing feedback mechanisms within organizations. It was founded in 2025 and is based in Auckland, New Zealand.",HR & Workforce Management Software,,New Zealand,1.21,"Archangel Ventures, Nathan Christensen, Oregon Venture Fund, Rowan Simpson, Serge van Dam",1.21,Pre-Seed,2025-10-30,Alive / Active,2025,Auckland,,,,,,,
Herd Labs,herd.eco,"Herd Labs focuses on on-chain smart contracts within the cryptocurrency sector. The company offers a collaborative terminal (coterminal) that allows users to compose on-chain and off-chain outputs, enabling them to search, understand, and act on smart contracts with the assistance of AI agents. It provides tools for the cryptocurrency and blockchain development community to interact with composable protocol flows. It was founded in 2024 and is based in Brooklyn, New York.",Internet Software & Services,Collaboration & Project Management,United States,4.80,"Archetype, David Phelps, First Commit, Fredrik Haga, Garrett Hughes, Hardi Meybaum, Jess Sloss, Mats Olsen, Omer Goldberg, Paul Taylor, See Eun Ha, Semantic Capital, Sishir Varghese, Vishesh Choudhry, Will Price, hildobby",3.00,Convertible Note,2025-07-13,Alive / Active,2024,Brooklyn,New York,,,,,,
Crosby Legal,crosby.ai,"Crosby Legal focuses on legal technology and contract review services within the legal sector. The company uses AI to analyze and review Master Service Agreements (MSAs), Data Processing Agreements (DPAs), and Non-Disclosure Agreements (NDAs) in under an hour. Crosby Legal serves sales teams and businesses in need of legal document processing. It was founded in 2024 and is based in New York, New York.",Internet Software & Services,Legal,United States,25.80,"Bain Capital Ventures, Eric Glyman, Eric Wu, Gil Shlarski, Jake Heller, Karim Atiyeh, Max Mullen, Sequoia Capital, Zach Weinberg, Cooley, Elad Gil, Index Ventures, Patrick Collison",20.00,Series A,2025-10-08,Alive / Active,2024,New York,New York,100.01,,,,,
Lumari,lumari.io,"Lumari focuses on creating a no-code platform for building custom internal applications and automation. It operates within the technology sector. It offers a platform that enables non-technical teams to describe workflows in plain English and generate custom internal apps and AI agents without engineering. Its services cater to businesses looking to automate tasks. It was founded in 2025 and is based in San Francisco, California.",Internet Software & Services,,United States,0.50,"Eight Capital Group, Sterling Road, Y Combinator",0.50,Convertible Note,2025-08-01,Alive / Active,2025,San Francisco,California,,,,,,
Orasio,orasio.com,"Orasio is a European company that develops video intelligence technology for the security and defense sectors. The company provides solutions for video streams to offer information for cities, internal security forces, and businesses, including detection of suspicious behaviors, analysis after events, and natural language search capabilities. Orasio's technology operates in demanding environments and complies with GDPR and the AI Act. It was founded in 2025 and is based in Paris, France.",Internet Software & Services,Video,France,17.92,"Expeditions Fund, Frst Capital, Global Founders Capital",17.92,Seed VC,2025-05-14,Alive / Active,2025,Paris,,89.60,,,,,
Aloha,aloha.co,"Aloha provides technology solutions for the hospitality industry, focusing on property management and channel management. The company offers tools designed to centralize bookings, automate operations, and facilitate processes for businesses in the hospitality sector. Aloha's solutions are designed to manage direct bookings, prevent overbooking, manage dynamic pricing, and improve housekeeping and financial processes through AI and automation. It was founded in 2024 and is based in Santiago, Chile.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",Chile,0.40,Chile Ventures,0.40,Seed VC,2025-04-10,Alive / Active,2024,Santiago,,,,,,,
Highlight AI,highlightai.com,"Highlight AI provides an on-screen personal assistant technology for various business sectors. The company offers services that include meeting notes, control of applications, and summarization and analysis of text based on the user's screen context. Highlight AI's tools are used by professionals who work with platforms like GitHub, Notion, Google Calendar, Linear, and Slack. It was founded in 2024 and is based in New York, New York.",Internet Software & Services,Operating Systems & Utility,United States,10.00,"Abstract, OMERS Ventures, Medal, Conviction Embed, Eric Glyman, General Catalyst, Karim Atiyeh, SV Angel, Valor Equity Partners",10.00,Seed VC,2024-10-08,Alive / Active,2024,New York,New York,,2024-10-07,Spinoff / Spinout,,,
XerpaAI,xerpaai.com,"XerpaAI operates within the technology sector, focusing on the expansion of businesses. The company offers services that include content creation, distribution through key opinion leaders (KOLs) and key opinion consumers (KOCs), and market feedback collection to enhance user acquisition and brand reach. XerpaAI primarily serves clients in the blockchain and AI sectors, with an emphasis on market education and social amplification. It was founded in 2025 and is based in Singapore.",Internet Software & Services,Content Management,Singapore,6.00,"Animoca Ventures, UFLY Labs",6.00,Seed,2025-07-09,Alive / Active,2025,Singapore,,,,,,,
Vanse AI,vanse.ai,"Vanse AI provides tools to automate various aspects of the investment process within the financial technology sector. The company offers tools for sourcing, due diligence, memo-writing, and portfolio management. Its tools are intended to improve deal pipelines, streamline sourcing with custom filters, perform data pulls for analysis, and generate briefs and memos for investment committee discussions. It was founded in 2024 and is based in New York, New York.",Internet Software & Services,Accounting & Finance,United States,0.50,"Forum Ventures, Right Side Capital Management",0.50,Pre-Seed,2024-04-19,Alive / Active,2024,New York,New York,,,,,,
Collate,collate.com,"Collate is an AI platform that supports life sciences development at various stages of the product lifecycle. The company provides services that create and manage paperwork for diagnostic, medical device, and drug development, addressing the process from concept to market. Collate serves the life sciences sector, including companies involved in the research, development, and commercialization of medical innovations. It was founded in 2025 and is based in San Francisco, California.",Internet Software & Services,Healthcare,United States,30.00,"Conviction Partners, First Round, Redpoint Ventures, Y Combinator",30.00,Seed VC,2025-01-13,Alive / Active,2025,San Francisco,California,100.00,,,,,
Frugal AI,frugal.co,"Frugal AI specializes in Application Cost Engineering (ACE) within the cloud computing sector. The company provides a platform that optimizes application code to reduce cloud costs, allowing engineers to improve efficiency while maintaining development. Frugal AI's services aim to analyze inefficient code patterns, integrate into CI/CD pipelines, and connect financial operations with engineering teams. It was founded in 2025 and is based in Ottawa, Canada.",Internet Software & Services,Application & Data Integration,Canada,5.00,"Mistral Venture Partners, Whitecap Venture Partners",5.00,Seed VC,2025-06-25,Alive / Active,2025,Ottawa,Ontario,,,,,,
Reshape Systems,reshape.systems,"Reshape Systems is focused on automating the risk analysis process for complex systems using Gen AI technology within the safety and reliability sector. The company provides a platform that manages projects and conducts automated risk analyses. Its technology is applicable across various technical domains including automotive, aerospace, avionics, railway, nuclear, manufacturing, and consumer electronics. It was founded in 2024 and is based in Prilly, Switzerland.",Internet Software & Services,Monitoring & Security,Switzerland,1.20,"Academia-Industry Training India, NVIDIA Inception Program, Venturelab, blaze EPFL Startup Accelerator, CERN, Microsoft for Startups Founders Hub, Tech4Trust, Venture Kick, Foundation for Technological Innovation, BackBone Ventures, Grunderfonds Ruhr, Heartfelt, Kyle Kosic, N&V Capital",1.07,Pre-Seed,2025-07-24,Alive / Active,2024,Prilly,,,2023-01-01,Spinoff / Spinout,,,
Flexprice,flexprice.io,"Flexprice provides monetization solutions for AI and agentic companies within the fintech sector. The company offers a platform for managing usage-based pricing, credits, and enterprise contracts, enabling engineers to manage product development and billing. Flexprice's services include usage metering, subscription management, invoicing, and feature access control, aimed at scaling with business needs. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Accounting & Finance,United States,0.50,"Brij Bhushan, Harshit Dwivedi, Sandeep Gupta, TDV Partners",0.50,Pre-Seed,2025-07-30,Alive / Active,2024,San Francisco,California,,,,,,
Maiga,maiga.ai,"Maiga is a decentralized AI agent economy focused on crypto trading, DeFi, and digital assets within the financial technology sector. It provides solutions for cryptocurrency market analysis, trading signals, and financial insights, aimed at helping traders and investors in their decision-making. It operates in the cryptocurrency trading and financial market analysis sectors. Maiga was formerly known as ThirdFi. It was founded in 2025 and is based in Singapore.",Internet Software & Services,Asset & Financial Management & Trading,Singapore,2.12,"TB Ventures, Techstars, Amber Group, Chainlink, IBC Group, Red Beard Ventures",2.00,Seed VC,2025-09-04,Alive / Active,2025,Singapore,,,,,,,
Spike AI,getspike.ai,"Spike AI develops artificial general intelligence tools for the digital marketing and website optimization industry. Its main offerings include a Marketing AGI platform that optimizes websites to improve conversion rates and support marketing strategies. The company serves sectors that require digital marketing solutions, including e-commerce and online service providers. It was founded in 2024 and is based in San Jose, California.",Internet Software & Services,"Advertising, Sales & Marketing",United States,1.98,"WeFunder, GSI, Principal Venture Partners, Sorin Investments",1.90,Pre-Seed,2025-08-12,Alive / Active,2024,San Jose,California,,,,,,
Third Dimension AI,thirddimension.ai,"Third Dimension AI focuses on three dimensional (3D) rendering technology and operates in film and TV, gaming, autonomous vehicles, drones, geospatial intelligence, and military applications. The company provides a rendering engine that allows for the creation of replicas of towns, cities, or civilizations quickly. Their services are aimed at professionals in the military, video game development, and autonomous vehicle sectors. It was founded in 2024 and is based in Oakland, California.",Internet Software & Services,Multimedia & Graphics,United States,6.90,"Solari, Abstract, Felicis, MVP Ventures, SALT Fund, Soma Capital",6.90,Seed VC,2024-10-08,Alive / Active,2024,Oakland,California,30.15,,,,,
Fume,fumedev.com,"Fume is a company that provides AI-driven tools aimed at improving software development processes in the software engineering domain. Their offerings include automated testing and code review solutions that assist in identifying edge cases, reviewing code changes, and suggesting improvements. Fume's tools are designed to work with existing development workflows, offering features such as dynamic testing, full codebase navigation, and custom instructions. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,0.50,"500 Emerging Europe, QNBEYOND Ventures, Transpose Platform, Y Combinator",0.50,Seed VC,2024-01-27,Alive / Active,2024,San Francisco,California,,,,,,
VisionAI,visionai.co.jp,"VisionAI creates solutions for corporate challenges by integrating computer vision with AI technology, focusing on the retail and service sectors. The company provides products and services that connect retail space with digital platforms, including store space optimization, customer service automation, and online reservation systems. VisionAI serves the retail and service industries, providing tools for operational efficiency and customer engagement. It was founded in 2024 and is based in Tokyo, Japan.",Internet Software & Services,Retail & Inventory,Japan,0.33,"CyberAgent Capital, New Commerce Ventures",0.33,Seed VC,2024-12-02,Alive / Active,2024,Tokyo,,,,,,,
Balthazar,balthazar.app,"Balthazar is a cloud platform for automating experiment tracking and data management for research and development labs in the hardware sector. The platform facilitates the design, simulation, and analysis of experiments, including features for tracking protocols and parameters, and a hub for managing and sharing R&D data. Balthazar serves the hardware R&D sector, providing integration for AI and real-time data insights. It was founded in 2024 and is based in Amsterdam, Netherlands.",Internet Software & Services,Application & Data Integration,Netherlands,1.82,"Antler Amsterdam, Antler Australia, Antler Brazil, Antler Canada, Antler Germany, Antler India, Antler Indonesia, Antler Kenya, Antler Korea, Antler Korea, Antler Nigeria, Antler Singapore, Antler Southeast Asia, Antler Sweden, Antler US, Antler, Innovatiefonds Noord-Holland, CapitalT, Netherlands Enterprise Agency, Rabobank",1.41,Pre-Seed - III,2025-07-02,Alive / Active,2024,Amsterdam,,,,,,,
DataHive AI,datahive.ai,"DataHive AI is a company that provides a decentralized platform for collecting data to train artificial intelligence models. The company's service allows users to collect data on devices, ensuring data privacy and consent. DataHive AI serves sectors that require data for AI development. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Application & Data Integration,United States,3.50,"AllianceDAO, TB Ventures, Outlier Ventures, 6MV, Anatoly Yakovenko, Curved Ventures, DCF God, Geebz, Nural Capital, Race Capital, Raj Gokal, Santiago Santos, Side Door Ventures, Solana Ventures, Wave Digital Assets",3.50,Seed VC,2025-08-28,Alive / Active,2024,San Francisco,California,,,,,,
